# Setpoints,Voltages
6.900000000000000000e+01,5.629887000000001473e-02
7.000000000000000000e+01,5.708861000000000491e-02
7.100000000000000000e+01,5.788976999999999318e-02
7.200000000000000000e+01,5.869375000000000286e-02
7.300000000000000000e+01,5.952421000000000101e-02
7.400000000000000000e+01,6.031471499999999791e-02
7.500000000000000000e+01,6.111479000000000911e-02
7.600000000000000000e+01,6.190277000000000973e-02
7.700000000000000000e+01,6.271951500000000346e-02
7.800000000000000000e+01,6.354000999999999399e-02
7.900000000000000000e+01,6.434109999999999829e-02
8.000000000000000000e+01,6.515200000000000158e-02
8.100000000000000000e+01,6.596537499999999277e-02
8.200000000000000000e+01,6.675510500000000902e-02
8.300000000000000000e+01,6.756365500000000024e-02
8.400000000000000000e+01,6.834942499999999144e-02
8.500000000000000000e+01,6.915296000000001331e-02
8.600000000000000000e+01,6.993660000000000154e-02
8.700000000000000000e+01,7.076034499999998839e-02
8.800000000000000000e+01,7.153657500000000502e-02
8.900000000000000000e+01,7.236459500000000378e-02
9.000000000000000000e+01,7.319673499999999888e-02
9.100000000000000000e+01,7.400445999999999414e-02
9.200000000000000000e+01,7.481785500000000255e-02
9.300000000000000000e+01,7.561510499999998802e-02
9.400000000000000000e+01,7.640250000000001207e-02
9.500000000000000000e+01,7.719672000000001033e-02
9.600000000000000000e+01,7.798531999999999687e-02
9.700000000000000000e+01,7.879946000000000172e-02
9.800000000000000000e+01,7.958198000000001049e-02
9.900000000000000000e+01,8.038056000000001755e-02
1.000000000000000000e+02,8.119857999999999243e-02
1.010000000000000000e+02,8.199859499999999357e-02
1.020000000000000000e+02,8.278657500000000113e-02
1.030000000000000000e+02,8.359819000000001665e-02
1.040000000000000000e+02,8.442641000000000728e-02
1.050000000000000000e+02,8.523305000000000464e-02
1.060000000000000000e+02,8.602764499999999981e-02
1.070000000000000000e+02,8.680873000000000062e-02
1.080000000000000000e+02,8.759707499999999647e-02
1.090000000000000000e+02,8.839200499999999572e-02
1.100000000000000000e+02,8.920772000000000423e-02
1.110000000000000000e+02,9.001218499999999456e-02
1.120000000000000000e+02,9.081395500000001564e-02
