# Setpoints,Voltages
1.760000000000000000e+02,1.359857499999999608e-01
1.770000000000000000e+02,1.367485500000000243e-01
1.780000000000000000e+02,1.375622999999999707e-01
1.790000000000000000e+02,1.383271999999999835e-01
1.800000000000000000e+02,1.391187500000000132e-01
1.810000000000000000e+02,1.398909000000000125e-01
1.820000000000000000e+02,1.406654999999999989e-01
1.830000000000000000e+02,1.414692500000000186e-01
1.840000000000000000e+02,1.422701500000000119e-01
1.850000000000000000e+02,1.430705499999999908e-01
1.860000000000000000e+02,1.438711500000000032e-01
1.870000000000000000e+02,1.446513500000000119e-01
1.880000000000000000e+02,1.454302000000000095e-01
1.890000000000000000e+02,1.462523000000000017e-01
1.900000000000000000e+02,1.470257999999999843e-01
1.910000000000000000e+02,1.477933499999999900e-01
1.920000000000000000e+02,1.485894000000000104e-01
1.930000000000000000e+02,1.493650000000000255e-01
1.940000000000000000e+02,1.501808499999999769e-01
1.950000000000000000e+02,1.509472999999999787e-01
1.960000000000000000e+02,1.517270000000000008e-01
1.970000000000000000e+02,1.524892499999999929e-01
1.980000000000000000e+02,1.533077500000000204e-01
1.990000000000000000e+02,1.540919500000000331e-01
2.000000000000000000e+02,1.548785500000000037e-01
2.010000000000000000e+02,1.557009000000000032e-01
2.020000000000000000e+02,1.564895500000000328e-01
2.030000000000000000e+02,1.572718499999999908e-01
2.040000000000000000e+02,1.580556499999999920e-01
2.050000000000000000e+02,1.588215499999999780e-01
2.060000000000000000e+02,1.595839999999999759e-01
2.070000000000000000e+02,1.603910499999999795e-01
2.080000000000000000e+02,1.611760499999999874e-01
2.090000000000000000e+02,1.619811999999999919e-01
2.100000000000000000e+02,1.627312500000000217e-01
2.110000000000000000e+02,1.635091499999999920e-01
2.120000000000000000e+02,1.643073500000000187e-01
2.130000000000000000e+02,1.650987499999999886e-01
2.140000000000000000e+02,1.658263500000000112e-01
2.150000000000000000e+02,1.666238999999999915e-01
2.160000000000000000e+02,1.674014500000000072e-01
2.170000000000000000e+02,1.682007999999999837e-01
2.180000000000000000e+02,1.689974000000000198e-01
2.190000000000000000e+02,1.697612500000000302e-01
2.200000000000000000e+02,1.705621500000000235e-01
2.210000000000000000e+02,1.713392999999999999e-01
2.220000000000000000e+02,1.721337999999999757e-01
2.230000000000000000e+02,1.729164999999999730e-01
2.240000000000000000e+02,1.737142999999999882e-01
2.250000000000000000e+02,1.745139500000000010e-01
2.260000000000000000e+02,1.752830000000000221e-01
2.270000000000000000e+02,1.760683499999999846e-01
2.280000000000000000e+02,1.768237500000000018e-01
2.290000000000000000e+02,1.775893000000000055e-01
2.300000000000000000e+02,1.783622500000000000e-01
2.310000000000000000e+02,1.791936500000000376e-01
2.320000000000000000e+02,1.799680999999999920e-01
2.330000000000000000e+02,1.807840500000000294e-01
2.340000000000000000e+02,1.815600500000000006e-01
2.350000000000000000e+02,1.823338000000000181e-01
2.360000000000000000e+02,1.831189999999999762e-01
2.370000000000000000e+02,1.838756500000000016e-01
2.380000000000000000e+02,1.847027500000000266e-01
2.390000000000000000e+02,1.854680000000000495e-01
2.400000000000000000e+02,1.862080500000000138e-01
2.410000000000000000e+02,1.870071000000000094e-01
2.420000000000000000e+02,1.877904999999999991e-01
2.430000000000000000e+02,1.885614999999999930e-01
2.440000000000000000e+02,1.893234000000000028e-01
2.450000000000000000e+02,1.900815499999999880e-01
2.460000000000000000e+02,1.909014499999999726e-01
2.470000000000000000e+02,1.916715999999999975e-01
2.480000000000000000e+02,1.924283499999999980e-01
2.490000000000000000e+02,1.932408999999999932e-01
2.500000000000000000e+02,1.940135500000000068e-01
2.510000000000000000e+02,1.947938000000000169e-01
2.520000000000000000e+02,1.955750500000000280e-01
2.530000000000000000e+02,1.963599999999999790e-01
2.540000000000000000e+02,1.971726499999999771e-01
2.550000000000000000e+02,1.979358999999999980e-01
2.560000000000000000e+02,1.987790500000000127e-01
2.570000000000000000e+02,1.995679500000000217e-01
2.580000000000000000e+02,2.003547999999999996e-01
2.590000000000000000e+02,2.011614499999999917e-01
2.600000000000000000e+02,2.019354499999999886e-01
2.610000000000000000e+02,2.026874999999999927e-01
2.620000000000000000e+02,2.034516999999999576e-01
2.630000000000000000e+02,2.042263999999999746e-01
2.640000000000000000e+02,2.050440000000000040e-01
2.650000000000000000e+02,2.058390999999999971e-01
2.660000000000000000e+02,2.065986999999999685e-01
2.670000000000000000e+02,2.074154999999999749e-01
2.680000000000000000e+02,2.082156999999999480e-01
2.690000000000000000e+02,2.089694499999999733e-01
2.700000000000000000e+02,2.097305999999999615e-01
2.710000000000000000e+02,2.105223500000000247e-01
2.720000000000000000e+02,2.113348999999999922e-01
2.730000000000000000e+02,2.120966500000000254e-01
2.740000000000000000e+02,2.128807000000000615e-01
2.750000000000000000e+02,2.136538499999999785e-01
2.760000000000000000e+02,2.144321500000000158e-01
2.770000000000000000e+02,2.152016500000000221e-01
2.780000000000000000e+02,2.159648500000000415e-01
2.790000000000000000e+02,2.167714999999999781e-01
2.800000000000000000e+02,2.175597500000000240e-01
2.810000000000000000e+02,2.183454999999999979e-01
2.820000000000000000e+02,2.191514999999999991e-01
2.830000000000000000e+02,2.199335500000000054e-01
2.840000000000000000e+02,2.206862500000000282e-01
2.850000000000000000e+02,2.214793499999999915e-01
2.860000000000000000e+02,2.222645999999999789e-01
2.870000000000000000e+02,2.230378499999999542e-01
2.880000000000000000e+02,2.238137999999999794e-01
2.890000000000000000e+02,2.246322500000000333e-01
2.900000000000000000e+02,2.254059999999999953e-01
2.910000000000000000e+02,2.261907999999999974e-01
2.920000000000000000e+02,2.269585000000000075e-01
2.930000000000000000e+02,2.277835999999999750e-01
2.940000000000000000e+02,2.285342499999999943e-01
2.950000000000000000e+02,2.293246999999999924e-01
2.960000000000000000e+02,2.301171499999999648e-01
2.970000000000000000e+02,2.308997999999999884e-01
2.980000000000000000e+02,2.316645499999999969e-01
2.990000000000000000e+02,2.324600499999999736e-01
